condition,label_type,n_trials,KNN,LogisticRegression,RandomForest,SVC,XGBoost
eyes_closed,y_objective,409,0.5206263173742849,0.601294790725685,0.5450165612767239,0.5890394459500151,0.540138512496236
eyes_closed,y_subjective,203,0.44780487804878044,0.5173170731707317,0.6097560975609756,0.5323170731707317,0.5363414634146342
eyes_open,y_objective,409,0.6183077386329419,0.6355916892502258,0.5937669376693767,0.6551641071966274,0.6671484492622705
eyes_open,y_subjective,204,0.6073170731707317,0.4159756097560976,0.4998780487804878,0.45,0.4854878048780488
